Name,Link
Preface,URLpreface.en.html
Foreword,URLforeword.en.html
1. Why This Book?,URLforeword.en.html#sect.why-this-book
2. Who Is this Book For?,URLsect.who-is-this-book-for.en.html
3. General Approach,URLsect.selected-approach.en.html
4. Book Structure,URLsect.book-structure.en.html
5. Contributing,URLsect.contributing.en.html
6. Acknowledgments,URLsect.acknowledgments.en.html
6.1. A Bit of History,URLsect.acknowledgments.en.html#id-1.3.10.2
6.2. Special Thanks to Contributors,URLsect.acknowledgments.en.html#id-1.3.10.3
6.3. Thanks to Translators,URLsect.acknowledgments.en.html#id-1.3.10.4
6.4. Personal Acknowledgments from Raphaël,URLsect.acknowledgments.en.html#id-1.3.10.5
6.5. Personal Acknowledgments from Roland,URLsect.acknowledgments.en.html#id-1.3.10.6
1. The Debian Project,URLthe-debian-project.en.html
1.1. What Is Debian?,URLthe-debian-project.en.html#sect.what-is-debian
1.1.1. A Multi-Platform Operating System,URLthe-debian-project.en.html#id-1.4.4.9
1.1.2. The Quality of Free Software,URLthe-debian-project.en.html#id-1.4.4.10
1.1.3. The Legal Framework: A Non-Profit Organization,URLthe-debian-project.en.html#id-1.4.4.11
1.2. The Foundation Documents,URLsect.foundation-documents.en.html
1.2.1. The Commitment towards Users,URLsect.foundation-documents.en.html#sect.social-contract
1.2.2. The Debian Free Software Guidelines,URLsect.foundation-documents.en.html#sect.dfsg
1.3. The Inner Workings of the Debian Project,URLsect.debian-internals.en.html
1.3.1. The Debian Developers,URLsect.debian-internals.en.html#id-1.4.6.6
1.3.2. The Active Role of Users,URLsect.debian-internals.en.html#id-1.4.6.7
"1.3.3. Teams, Blends, and Sub-Projects",URLsect.debian-internals.en.html#id-1.4.6.8
1.4. Follow Debian News,URLsect.follow-debian-news.en.html
1.5. The Role of Distributions,URLsect.role-of-distributions.en.html
1.5.1. The Installer: ,URLsect.role-of-distributions.en.html#id-1.4.8.4
1.5.2. The Software Library,URLsect.role-of-distributions.en.html#id-1.4.8.5
1.6. Lifecycle of a Release,URLsect.release-lifecycle.en.html
